,monitor,curved,size,contrast,contrast_LD,backlight,sdr_brightness,hdr_brightness,rec_mode,rec_rgb,rec_contrast,rec_gamma,srgb,adobergb,dcip3_volume,rec2020_volume,coating,pixel,subpixel,refreshrate,hdmi_rr10,dp_rr10,gsync,rec_overdrive,trt_max,overshoot_max,smear_max,trt_120,overshoot_120,smear_120,pwm,inputlag_max,inputlag_120,res,aspect,ppi,ps5_vrr,xbox_vrr,hdmi2.1,powerdelivery,kvm,multi_input
57,Dell S2722DGM,Yes,"27""","2,948 : 1",,Edge,389 cd/m²,,Custom Color,"Gain (95-100-98), Offset (50-50-48)",75.0,No Gamma Setting,99.6%,79.7%,,,Matte,VA,RGB,165 Hz,,,Compatible (Tested),Super Fast (Freesync On),13.2 ms,0.7%,31.5 ms,13.3 ms,1.6%,34.3 ms,0 Hz,4.2 ms,5.2 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
58,Sony 42 A90K OLED,No,"42""",Inf : 1,,No Backlight,129 cd/m²,407 cd/m²,Game,"Gain (-2, 0, -5), Bias (2, 1, -3)",90.0,0,98.6%,87.4%,76.9%,65.7%,Semi-Gloss,OLED,RWBG,120 Hz,120 Hz,,Compatible (Tested),No Overdrive,2.4 ms,1.1%,8.3 ms,2.4 ms,1.1%,8.3 ms,0 Hz,9.2 ms,9.2 ms,3840 x 2160,16:9,106 PPI,Yes,Yes,48Gbps (FRL 12x4),No USB-C Ports,No,No
59,ASUS VG246H,No,"24""","1,124 : 1",,Edge,256 cd/m²,,Racing Mode,98-97-94,78.0,No Gamma Setting,97.1%,74.9%,,,Matte,IPS,RGB,75 Hz,,,No,60,15.4 ms,1.0%,17.2 ms,,,,0 Hz,7.8 ms,,1920 x 1080,16:9,92 PPI,,,,,,No
60,HP 27F,No,"27""","1,142 : 1",,Edge,298 cd/m²,,Custom,255-253-249,77.0,No Gamma Setting,92.7%,71.9%,,,Matte,IPS,RGB,75 Hz,,,No,Level 2 (Fast),17.3 ms,4.9%,18.7 ms,,,,0 Hz,7.4 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
61,Lenovo D27-30,No,"27""","4,048 : 1",,Edge,173 cd/m²,,Standard (custom),100-87-85,70.0,No Gamma Setting,99.0%,77.7%,,,Matte,VA,RGB,75 Hz,,,No,Off,15.6 ms,1.1%,19.6 ms,,,,0 Hz,8.5 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
62,LG 27MN60T-W,No,"27""","1,097 : 1",,Edge,247 cd/m²,,Custom,50-48-42,70.0,Mode 4,94.8%,73.3%,,,Matte,IPS,RGB,75 Hz,,,No,Fast,18.3 ms,3.1%,28.1 ms,,,,0 Hz,7.6 ms,,1920 x 1080,16:9,81 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
63,Samsung Odyssey G5/G55A S27AG55,Yes,"27""","2,521 : 1",,Edge,257 cd/m²,293 cd/m²,Custom,50-44-44,70.0,Mode 1,96.8%,76.5%,71.0%,51.2%,Matte,VA,RGB,165 Hz,60 Hz,165 Hz,Compatible (Tested),FreeSync On,23.9 ms,0.0%,41.8 ms,25.9 ms,0.0%,43.4 ms,>1000 Hz,4.9 ms,6.1 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
64,Samsung Odyssey G3 S24AG30,No,"24""","5,099 : 1",,Edge,214 cd/m²,,Custom,52-45-44,70.0,Mode 1,98.9%,76.3%,,,Matte,VA,RGB,144 Hz,,,Compatible (Tested),Fastest,22.5 ms,6.2%,33.8 ms,,,,0 Hz,4.7 ms,,1920 x 1080,16:9,93 PPI,,,,,,No
65,LG 38GN950-B,Yes,"38""",949 : 1,945 : 1,Edge,520 cd/m²,734 cd/m²,Gamer 1,49-50-48,70.0,Mode 2,99.7%,88.6%,90.6%,69.0%,Matte,IPS,RGB,160 Hz,,,Compatible (NVIDIA Certified),Fast,6.9 ms,3.5%,7.2 ms,,,,0 Hz,3.8 ms,,3840 x 1600,21:9,111 PPI,,,,,,No
66,LG 48 C1 OLED,No,"48""",Inf : 1,,No Backlight,116 cd/m²,714 cd/m²,Game Optimizer,"High (5-0-(-7)), Low (0-0-0)",85.0,2.2,98.8%,75.1%,78.9%,57.8%,Glossy,OLED,WBGR,120 Hz,120 Hz,,Compatible (NVIDIA Certified),No Overdrive,1.7 ms,0.6%,8.3 ms,1.7 ms,0.6%,8.3 ms,0 Hz,5.3 ms,5.3 ms,3840 x 2160,16:9,92 PPI,Yes,Yes,40Gbps (FRL 10x4),No USB-C Ports,No,No
67,Dell S2722QC,No,"27""","1,304 : 1",,Edge,382 cd/m²,408 cd/m²,Custom Color,99-98-99,75.0,No Gamma Setting,100.0%,78.5%,73.8%,53.4%,Matte,IPS,RGB,60 Hz,30 Hz,60 Hz,Compatible (Tested),Normal,14.4 ms,0.4%,18.7 ms,,,,0 Hz,9.0 ms,,3840 x 2160,16:9,164 PPI,No,Yes,No HDMI 2.1,65W,No,PIP + PBP
68,Gigabyte M32Q,No,"32""","1,195 : 1",,Edge,333 cd/m²,445 cd/m²,Custom 1,100-97-92,50.0,2.2,98.9%,84.2%,83.2%,61.8%,Matte,IPS,RGB,170 Hz,60 Hz,120 Hz,Compatible (Tested),Picture Quality,6.1 ms,0.0%,9.2 ms,6.9 ms,0.6%,9.8 ms,0 Hz,4.5 ms,5.1 ms,2560 x 1440,16:9,93 PPI,No,Yes,No HDMI 2.1,15W,Yes,PIP + PBP
69,HP X27q,No,"27""","1,085 : 1",704 : 1,Edge,396 cd/m²,451 cd/m²,Custom RGB,250-253-255,100.0,No Gamma Setting,99.2%,76.4%,85.4%,63.0%,Matte,IPS,RGB,165 Hz,75 Hz,165 Hz,Compatible (Tested),Level 2 (Fast),8.9 ms,10.4%,15.2 ms,11.2 ms,0.0%,16.2 ms,0 Hz,3.7 ms,4.8 ms,2560 x 1440,16:9,108 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
70,Gigabyte AORUS FI27Q-X,No,"27""","1,028 : 1",,Edge,398 cd/m²,412 cd/m²,Custom 1,100-88-84,50.0,Mode 3,100.0%,100.0%,62.5%,61.4%,Matte,IPS,BGR,240 Hz,60 Hz,200 Hz,Compatible (NVIDIA Certified),Balance,7.3 ms,0.6%,9.7 ms,8.2 ms,4.6%,14.2 ms,0 Hz,2.5 ms,4.7 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,PIP + PBP
71,Acer Predator XB273U GXbmiipruzx,No,"27""","1,242 : 1",,Edge,488 cd/m²,453 cd/m²,User,50-44-48,50.0,2.2,99.6%,100.0%,84.0%,71.5%,Matte,IPS,RGB,270 Hz,60 Hz,270 Hz,Compatible (NVIDIA Certified),Normal,5.4 ms,3.0%,8.5 ms,8.4 ms,0.0%,10.7 ms,0 Hz,2.3 ms,5.9 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,65W,No,No
72,ASUS ROG Swift PG279QM,No,"27""","1,147 : 1","1,169 : 1",Edge,363 cd/m²,469 cd/m²,Racing Mode,100-94-98,50.0,2.2,99.6%,100.0%,93.2%,78.5%,Matte,IPS,RGB,240 Hz,60 Hz,144 Hz,Yes (Native),Esports,7.0 ms,11.5%,10.1 ms,8.6 ms,0.0%,11.0 ms,0 Hz,3.1 ms,6.6 ms,2560 x 1440,16:9,109 PPI,Yes,Yes,No HDMI 2.1,No USB-C Ports,No,No
73,Samsung Odyssey Neo G8 S32BG85,Yes,"32""","3,593 : 1","22,042 : 1",Full-Array,339 cd/m²,422 cd/m²,Custom,47-49-50,80.0,Mode 2,97.7%,85.1%,84.7%,66.7%,Matte,VA,RGB,240 Hz,240 Hz,240 Hz,Compatible (Tested),Adaptive Sync,6.6 ms,12.4%,12.4 ms,8.2 ms,7.0%,13.9 ms,0 Hz,2.8 ms,5.1 ms,3840 x 2160,16:9,139 PPI,Yes,Yes,40Gbps (FRL 10x4),No USB-C Ports,No,PIP
74,LG 32UL500-W,No,"32""","2,883 : 1",,Edge,256 cd/m²,242 cd/m²,Custom,45-60-46,67.0,Mode 2,100.0%,90.3%,87.3%,68.2%,Matte,VA,RGB,60 Hz,30 Hz,60 Hz,Compatible (Tested),Off,14.4 ms,0.5%,28.0 ms,,,,0 Hz,10.2 ms,,3840 x 2160,16:9,138 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
75,LG 32GN50T-B,No,"32""","4,004 : 1",,Edge,364 cd/m²,361 cd/m²,Gamer 1,49-50-47,70.0,Mode 2,98.5%,78.1%,71.0%,52.1%,Matte,VA,RGB,165 Hz,,,Compatible (NVIDIA Certified),Fast,13.6 ms,1.9%,16.1 ms,,,,0 Hz,4.3 ms,,1920 x 1080,16:9,69 PPI,,,,,,No
76,LG 32GN650-B,No,"32""","3,229 : 1",,Edge,298 cd/m²,332 cd/m²,Gamer 1,49-50-49,70.0,Mode 2,98.6%,77.4%,70.8%,50.8%,Matte,VA,RGB,165 Hz,60 Hz,165 Hz,Compatible (Tested),Faster,11.8 ms,12.0%,24.4 ms,12.5 ms,6.4%,24.5 ms,0 Hz,4.0 ms,5.5 ms,2560 x 1440,16:9,93 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
77,LG 32GN63T-B,No,"32""","5,609 : 1",,Edge,303 cd/m²,320 cd/m²,Gamer 1,50-47-47,70.0,Mode 2,96.5%,75.1%,73.0%,53.1%,Matte,VA,RGB,165 Hz,60 Hz,165 Hz,Compatible (NVIDIA Certified),Faster,20.3 ms,5.8%,40.2 ms,17.3 ms,9.1%,37.7 ms,0 Hz,5.2 ms,6.4 ms,2560 x 1440,16:9,93 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
78,Gigabyte AORUS FV43U,No,"43""","4,675 : 1","5,830 : 1",Full-Array,720 cd/m²,653 cd/m²,Custom 1,100-94-97,50.0,2.2,99.1%,98.4%,92.5%,76.6%,Semi-Gloss,VA,BGR,144 Hz,144 Hz,144 Hz,Compatible (Tested),Picture Quality,11.6 ms,7.5%,21.5 ms,13.1 ms,9.1%,24.3 ms,0 Hz,4.5 ms,5.0 ms,3840 x 2160,16:9,104 PPI,Yes,Yes,24Gbps (FRL 6x4),15W,Yes,PIP + PBP
79,Samsung Smart Monitor M7 S43BM70,No,"43""","3,071 : 1",,Edge,295 cd/m²,296 cd/m²,Custom,"Gain (1,1,-3), Offset (-3,-1,2)",50.0,2.2,99.7%,85.2%,83.4%,62.0%,Glossy,VA,BGR,60 Hz,30 Hz,,No,Standard,18.3 ms,2.2%,39.8 ms,,,,240 Hz,11.2 ms,,3840 x 2160,16:9,103 PPI,No,No,No HDMI 2.1,65W,No,No
80,Dell U2723QE,No,"27""","1,978 : 1","1,811 : 1",Edge,341 cd/m²,432 cd/m²,Custom Color,100-93-94,73.0,No Gamma Setting,100.0%,88.0%,93.0%,71.3%,Semi-Gloss,IPS,RGB,60 Hz,30 Hz,60 Hz,No,Normal,20.7 ms,6.0%,33.4 ms,,,,0 Hz,9.1 ms,,3840 x 2160,16:9,162 PPI,No,No,No HDMI 2.1,90W,Yes,PIP + PBP
81,Gigabyte M32UC,Yes,"32""","2,776 : 1",,Edge,500 cd/m²,504 cd/m²,Custom 1,100-100-97,49.0,2.2,95.8%,81.9%,65.4%,57.8%,Matte,VA,RGB,160 Hz,160 Hz,160 Hz,Compatible (Tested),Picture Quality,8.7 ms,0.4%,21.0 ms,9.5 ms,0.8%,20.4 ms,0 Hz,4.2 ms,5.3 ms,3840 x 2160,16:9,139 PPI,Yes,Yes,24Gbps (FRL 6x4),15W,Yes,PIP + PBP
82,Samsung Odyssey Neo G9,Yes,"49""","2,866 : 1","14,843 : 1",Full-Array,582 cd/m²,794 cd/m²,Custom,46-51-49,71.0,Mode 2,99.6%,85.5%,85.9%,66.7%,Matte,VA,RGB,240 Hz,144 Hz,240 Hz,Compatible (NVIDIA Certified),Adaptive Sync,8.3 ms,24.2%,13.9 ms,8.6 ms,6.5%,17.0 ms,0 Hz,2.9 ms,4.8 ms,5120x1440,32:9,109 PPI,No,Yes,40Gbps (FRL 10x4),No USB-C Ports,No,PIP + PBP
83,ASUS VG279Q,No,"27""","1,248 : 1",,Edge,430 cd/m²,,Racing Mode,100-100-99,80.0,No Gamma Setting,98.6%,76.6%,,,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),80,13.0 ms,7.6%,20.5 ms,13.6 ms,2.4%,22.0 ms,0 Hz,4.3 ms,4.9 ms,1920 x 1080,16:9,82 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
84,Acer Nitro XV252Q Fbmiiprx,No,"25""",994 : 1,,Edge,396 cd/m²,392 cd/m²,User,50-47-43,50.0,2.0,98.9%,77.3%,70.7%,51.1%,Matte,IPS,RGB,390 Hz,120 Hz,300 Hz,Compatible (Tested),AMD FreeSync Premium,7.8 ms,0.0%,11.2 ms,11.2 ms,12.6%,16.2 ms,0 Hz,1.8 ms,4.6 ms,1920 x 1080,16:9,90 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
85,LG 24GL600F,No,"24""","1,109 : 1",,Edge,346 cd/m²,,Gamer 1,50-43-36,70.0,Mode 2,96.0%,76.6%,,,Matte,TN,RGB,144 Hz,,,Compatible (Tested),Fast,9.1 ms,1.5%,17.2 ms,10.0 ms,2.1%,16.8 ms,0 Hz,4.7 ms,4.8 ms,1920 x 1080,16:9,92 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
86,Dell UltraSharp U2520D,No,"25""","1,010 : 1",,Edge,351 cd/m²,385 cd/m²,Custom Color,96-98-100,75.0,No Gamma Setting,99.6%,82.4%,63.7%,66.2%,Matte,IPS,RGB,60 Hz,,,No,Normal,12.5 ms,5.2%,13.3 ms,,,,0 Hz,8.7 ms,,2560 x 1440,16:9,117 PPI,,,,,,No
87,Razer Raptor 27 144Hz,No,"27""","1,211 : 1",,Edge,364 cd/m²,476 cd/m²,Custom,44-46-50,48.0,2.2,99.6%,86.0%,68.3%,52.7%,Matte,IPS,RGB,144 Hz,,,Compatible (NVIDIA Certified),Strong,12.4 ms,11.1%,14.5 ms,,,,0 Hz,4.1 ms,,2560 x 1440,16:9,109 PPI,,,,,,PIP + PBP
88,ASUS TUF VG27AQ,No,"27""","1,247 : 1",,Edge,328 cd/m²,329 cd/m²,Racing Mode,98-100-99,80.0,No Gamma Setting,95.7%,74.2%,72.2%,52.4%,Matte,IPS,RGB,165 Hz,60 Hz,120 Hz,Compatible (NVIDIA Certified),80,10.3 ms,6.0%,15.6 ms,10.6 ms,5.1%,18.1 ms,0 Hz,3.5 ms,4.8 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
89,Dell UltraSharp U2721DE,No,"27""","1,014 : 1",,Edge,349 cd/m²,,Custom Color,94-92-100,78.0,No Gamma Setting,96.8%,75.3%,,,Matte,IPS,RGB,60 Hz,,,No,Normal,19.2 ms,4.5%,20.7 ms,,,,0 Hz,8.7 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
90,Lenovo Q27q-10,No,"27""","1,013 : 1",,Edge,295 cd/m²,,Standard (custom),86-94-100,85.0,No Gamma Setting,88.8%,69.2%,,,Matte,IPS,RGB,75 Hz,,,Compatible (Tested),Normal,22.2 ms,11.7%,22.7 ms,,,,0 Hz,6.6 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
91,AOC CQ27G1,Yes,"27""","3,263 : 1",,Edge,223 cd/m²,,Standard,45-50-43,50.0,Mode 1,95.1%,81.8%,,,Matte,VA,RGB,144 Hz,,,No,Strong,16.3 ms,6.6%,18.5 ms,,,,0 Hz,4.2 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
92,Dell UltraSharp U2720Q,No,"27""","1,121 : 1",619 : 1,Edge,318 cd/m²,442 cd/m²,Custom Color,100-96-97,70.0,No Gamma Setting,99.3%,83.3%,72.5%,65.9%,Matte,IPS,RGB,60 Hz,30 Hz,60 Hz,No,Normal,18.8 ms,4.3%,34.3 ms,,,,0 Hz,9.3 ms,,3840 x 2160,16:9,164 PPI,No,No,No HDMI 2.1,90W,No,No
93,MSI Optix G27C4,Yes,"27""","3,658 : 1",,Edge,247 cd/m²,,User,43-44-55,70.0,No Gamma Setting,96.8%,81.5%,,,Matte,VA,RGB,165 Hz,,,Compatible (Tested),Fastest,11.5 ms,6.1%,17.0 ms,,,,0 Hz,3.6 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
94,ASUS ROG Strix XG16AHPE,No,"16""","1,261 : 1",,Edge,286 cd/m²,,User,100-95-88,80.0,2.2,96.6%,73.8%,,,Matte,IPS,RGB,144 Hz,,,Compatible (NVIDIA Certified),Level 4,8.5 ms,1.6%,10.7 ms,,,,0 Hz,4.2 ms,,1920 x 1080,16:9,140 PPI,,,,,,No
95,Acer Nitro VG271UP Pbmiipx,No,"27""","1,244 : 1",,Edge,320 cd/m²,462 cd/m²,User,45-43-51,49.0,2.2 (Default),99.5%,85.0%,56.4%,59.2%,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Normal,15.9 ms,0.0%,17.9 ms,,,,0 Hz,4.1 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
96,ASUS ROG Strix XG17AHPE,No,"17""","1,174 : 1",,Edge,280 cd/m²,,User,100-95-99,75.0,2.2 (Default),98.2%,78.5%,,,Matte,IPS,RGB,240 Hz,,,Compatible (Tested),Level 3,7.4 ms,0.0%,9.3 ms,,,,0 Hz,2.7 ms,,1920 x 1080,16:9,129 PPI,,,,,,No
97,Dell S3222DGM,Yes,"32""","4,365 : 1",,Edge,333 cd/m²,,Game 1,"Gain (97-100-94), Offset (52-49-52)",75.0,No Gamma Setting,98.1%,81.9%,,,Matte,VA,RGB,165 Hz,,,Compatible (Tested),Super Fast (Freesync On),10.6 ms,2.8%,25.9 ms,12.8 ms,5.4%,26.2 ms,0 Hz,4.5 ms,5.6 ms,2560 x 1440,16:9,93 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
98,ASUS ProArt Display PA278QV,No,"27""","1,114 : 1",,Edge,446 cd/m²,,User 1,50-44-46,80.0,2.2,95.8%,74.5%,,,Matte,IPS,RGB,75 Hz,,,Compatible (Tested),60,13.5 ms,1.7%,21.0 ms,,,,>1000 Hz,7.0 ms,,2560 x 1440,16:9,109 PPI,No,No,No HDMI 2.1,No USB-C Ports,No,No
99,LG 27GN800-B,No,"27""",841 : 1,,Edge,329 cd/m²,346 cd/m²,Gamer 1,48-50-47,70.0,Mode 2,100.0%,89.4%,76.4%,57.0%,Matte,IPS,RGB,144 Hz,60 Hz,144 Hz,Compatible (NVIDIA Certified),Normal,6.1 ms,1.1%,10.0 ms,7.2 ms,1.8%,12.2 ms,0 Hz,4.0 ms,4.8 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
100,Dell S3221QS,Yes,"32""","3,194 : 1",,Edge,300 cd/m²,335 cd/m²,Custom Color,97-97-100,70.0,No Gamma Setting,99.7%,80.3%,81.1%,63.1%,Matte,VA,RGB,60 Hz,30 Hz,60 Hz,Compatible (Tested),Normal,20.9 ms,7.1%,38.9 ms,,,,0 Hz,9.6 ms,,3840 x 2160,16:9,140 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,PIP + PBP
101,LG 27GL850-B,No,"27""",735 : 1,,Edge,347 cd/m²,363 cd/m²,Gamer 1,49-46-40,68.0,Mode 2,99.6%,84.2%,76.8%,62.1%,Matte,IPS,RGB,144 Hz,75 Hz,144 Hz,Compatible (NVIDIA Certified),Fast,7.8 ms,2.8%,12.2 ms,8.6 ms,0.1%,10.3 ms,0 Hz,4.3 ms,5.1 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
102,MSI Optix G273QF,No,"27""","1,249 : 1",,Edge,316 cd/m²,,User,97-99-100,70.0,No Gamma Setting,99.4%,84.4%,,,Matte,IPS,RGB,165 Hz,60 Hz,120 Hz,Compatible (NVIDIA Certified),Fast,6.9 ms,1.7%,10.2 ms,9.6 ms,5.9%,14.8 ms,0 Hz,3.4 ms,4.5 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
103,ViewSonic XG2431,No,"24""",900 : 1,,Edge,343 cd/m²,501 cd/m²,Standard (User),92-100-96,70.0,No Gamma Setting,99.5%,76.3%,71.3%,53.1%,Matte,IPS,RGB,240 Hz,144 Hz,240 Hz,Compatible (Tested),Advanced,7.5 ms,0.0%,10.7 ms,6.4 ms,0.2%,8.8 ms,0 Hz,2.7 ms,4.7 ms,1920 x 1080,16:9,93 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
104,LG 40WP95C-W,Yes,"40""","1,087 : 1",,Edge,280 cd/m²,283 cd/m²,Custom,50-50-48,70.0,Mode 2,99.5%,89.8%,85.9%,67.3%,Matte,IPS,RGB,72 Hz,30 Hz,72 Hz,Partially Compatible,Normal,16.4 ms,0.4%,24.6 ms,,,,0 Hz,7.4 ms,,5120 x 2160,21:9,142 PPI,No,Yes,No HDMI 2.1,96W,No,PBP
105,ASUS ROG Strix XG27AQ,No,"27""","1,121 : 1","1,117 : 1",Edge,297 cd/m²,349 cd/m²,Racing Mode,100-94-94,80.0,2.2,99.1%,84.6%,75.7%,68.5%,Matte,IPS,RGB,170 Hz,60 Hz,120 Hz,Compatible (NVIDIA Certified),Level 1,7.3 ms,2.1%,11.1 ms,9.3 ms,3.9%,13.3 ms,0 Hz,3.2 ms,4.4 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
106,LG 34GP950G-B,Yes,"34""",836 : 1,918 : 1,Edge,434 cd/m²,656 cd/m²,Gamer 1,50-44-32,70.0,Mode 2,99.6%,89.4%,93.0%,70.9%,Matte,IPS,RGB,180 Hz,60 Hz,144 Hz,Yes (Native),Normal,7.2 ms,0.0%,10.8 ms,7.1 ms,0.3%,9.4 ms,0 Hz,3.7 ms,4.9 ms,3440 x 1440,21:9,108 PPI,Yes,Yes,No HDMI 2.1,No USB-C Ports,No,No
107,Dell U3223QE,No,"32""","2,104 : 1","2,240 : 1",Edge,400 cd/m²,385 cd/m²,Custom Color,100-92-95,75.0,No Gamma Setting,100.0%,89.0%,72.7%,71.5%,Semi-Gloss,IPS,RGB,60 Hz,30 Hz,60 Hz,No,Normal,24.3 ms,9.5%,31.7 ms,,,,>1000 Hz,8.9 ms,,3840 x 2160,16:9,139 PPI,No,No,No HDMI 2.1,90W,Yes,PIP + PBP
108,Apple Studio Display,No,"27""","1,052 : 1",,Edge,584 cd/m²,,Apple Display,No Color Settings,,No Gamma Setting,99.1%,88.0%,,,Glossy,IPS,RGB,60 Hz,,60 Hz,No,No Overdrive,20.4 ms,0.0%,37.4 ms,,,,0 Hz,9.6 ms,,5120 x 2880,16:9,218 PPI,No,No,No HDMI 2.1,96W,No,No
109,MSI Optix MAG271CQR,Yes,"27""","3,372 : 1",,Edge,344 cd/m²,,User,100-100-90,51.0,No Gamma Setting,96.1%,81.4%,,,Matte,VA,RGB,144 Hz,,,Compatible (Tested),Normal,12.1 ms,1.1%,13.1 ms,,,,0 Hz,4.7 ms,,2560 x 1440,16:9,109 PPI,,,,,,PIP + PBP
110,Dell P3223DE,No,"32""","1,294 : 1",,Edge,348 cd/m²,,Custom Color,100-99-97,75.0,No Gamma Setting,98.9%,86.6%,,,Matte,IPS,RGB,60 Hz,,60 Hz,No,Normal,22.4 ms,8.0%,36.2 ms,,,,0 Hz,9.5 ms,,2560 x 1440,16:9,93 PPI,No,No,No HDMI 2.1,90W,No,No
111,LG 27GP83B-B,No,"27""",745 : 1,,Edge,366 cd/m²,475 cd/m²,Gamer 1,48-48-50,70.0,Mode 2,100.0%,85.3%,78.7%,58.0%,Matte,IPS,RGB,165 Hz,60 Hz,165 Hz,Compatible (NVIDIA Certified),Normal,6.4 ms,0.0%,9.6 ms,7.0 ms,0.5%,11.3 ms,0 Hz,3.7 ms,4.9 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
112,Dell G3223Q,No,"32""","1,236 : 1","1,102 : 1",Edge,433 cd/m²,501 cd/m²,Custom Color,100-100-94,75.0,2.2,99.9%,89.3%,75.8%,71.0%,Matte,IPS,RGB,144 Hz,144 Hz,144 Hz,Compatible (Tested),Fast,6.2 ms,0.5%,8.9 ms,7.9 ms,2.0%,12.7 ms,0 Hz,4.1 ms,4.8 ms,3840 x 2160,16:9,138 PPI,Yes,Yes,24Gbps (FRL 6x4),No USB-C Ports,No,PIP + PBP
113,Dell G2722HS,No,"27""","1,101 : 1",,Edge,335 cd/m²,,Custom Color,100-97-93,75.0,No Gamma Setting,100.0%,78.0%,,,Matte,IPS,RGB,165 Hz,,,Compatible (NVIDIA Certified),FreeSync On,9.1 ms,0.0%,12.6 ms,9.6 ms,0.0%,12.6 ms,0 Hz,3.8 ms,4.8 ms,1920 x 1080,16:9,82 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
114,LG 32QN55T-B,No,"32""","1,283 : 1",,Edge,347 cd/m²,365 cd/m²,Custom,50-46-44,70.0,Mode 2,98.9%,77.3%,73.3%,54.9%,Matte,IPS,RGB,75 Hz,60 Hz,,No,Fast,14.5 ms,1.9%,22.9 ms,,,,0 Hz,7.8 ms,,2560 x 1440,16:9,93 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
115,Gigabyte M34WQ,No,"34""","1,074 : 1",,Edge,379 cd/m²,380 cd/m²,Custom 1,98-100-98,50.0,2.2,99.4%,82.1%,83.4%,63.6%,Matte,IPS,RGB,144 Hz,60 Hz,144 Hz,Compatible (Tested),Picture Quality,8.5 ms,0.1%,14.3 ms,8.2 ms,1.2%,12.1 ms,0 Hz,4.3 ms,5.0 ms,3440 x 1440,21:9,110 PPI,No,Yes,No HDMI 2.1,15W,Yes,PIP + PBP
116,Dell S3422DWG,Yes,"34""","2,725 : 1",,Edge,344 cd/m²,547 cd/m²,Custom Color,"Gain (100-100-91), Offset (53-50-53)",75.0,Default,98.5%,82.5%,83.0%,63.2%,Matte,VA,RGB,144 Hz,60 Hz,144 Hz,Compatible (Tested),Super Fast,9.2 ms,1.5%,23.3 ms,9.9 ms,2.4%,22.5 ms,0 Hz,4.5 ms,5.0 ms,3440 x 1440,21:9,108 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,PIP + PBP
117,LG 27GP850-B,No,"27""",807 : 1,,Edge,365 cd/m²,465 cd/m²,Gamer 1,50-50-47,68.0,Mode 2,99.9%,87.7%,82.2%,62.2%,Matte,IPS,RGB,180 Hz,60 Hz,180 Hz,Compatible (NVIDIA Certified),Normal,6.8 ms,0.0%,11.1 ms,7.2 ms,0.6%,11.3 ms,0 Hz,3.6 ms,4.9 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
118,Acer Nitro XF243Y Pbmiiprx,No,"24""","1,006 : 1",,Edge,396 cd/m²,370 cd/m²,User,47-46-50,50.0,2.2 (Default),99.4%,76.0%,67.1%,49.1%,Matte,IPS,RGB,165 Hz,165 Hz,165 Hz,Compatible (Tested),FreeSync On,7.4 ms,8.1%,11.8 ms,9.5 ms,10.8%,15.4 ms,0 Hz,3.8 ms,5.2 ms,1920 x 1080,16:9,92 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
